怪,[guài] bewildering; odd; strange; uncanny; devil; monster; to wonder at; to blame; quite; rather; 
这时,[zhè shí] at this time; at this moment; 
一边,[yī biān] one side; either side; on the one hand; on the other hand; doing while; 
那么,[nà me] like that; in that way; or so; so; so very much; about; in that case; 
丢掉,[diū diào] to lose; to throw away; to discard; to cast away; 
不该,[bù gāi] should not; to owe nothing; 
不要,[bù yào] don't!; must not; 
不行,[bù xíng] won't do; be out of the question; be no good; not work; not be capable; 
问题,[wèn tí] question; problem; issue; topic; CL:個|个[ge4]; 
不知,[bù zhī] not to know; unaware; unknowingly; fig. not to admit (defeat, hardships, tiredness etc); 
不尽,[bù jìn] not completely; endlessly; 
降落,[jiàng luò] to descend; to land; 
不仅,[bù jǐn] not only (this one); not just (...) but also; 
下来,[xià lai] to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders); 
天堂,[tiān táng] paradise; heaven; 
为什么,[wèi shén me] why?; for what reason?; 
宝贝儿,[bǎo bèi r] erhua variant of 寶貝|宝贝[bao3 bei4]; 
一定要,[yī dìng yào] must; 
一回事,[yī huí shì] one thing; the same as; 
第二天,[dì èr tiān] next day; the morrow; 
一口气,[yī kǒu qì] one breath; in one breath; at a stretch; 
一会儿,[yī huì r] a moment; a while; in a moment; now...now...; also pr. [yi1 hui3 r5]; 
