掺,[chān] variant of 攙|搀[chan1]; to mix; [shǎn] to grasp; 
历史,[lì shǐ] history; CL:門|门[men2],段[duan4]; 
不同,[bù tóng] different; distinct; not the same; not alike; 
制成,[zhì chéng] to manufacture; to turn out (a product); 
到了,[dào liǎo] at last; finally; in the end; 
切成,[qiē chéng] to cut up (into pieces); to slice; to carve; to dice; to shred; 
写字,[xiě zì] to write characters; 
储量,[chǔ liàng] remaining quantity; reserves (of natural resources, oil etc); 
适中,[shì zhōng] moderate; reasonable; conveniently situated; 
适合,[shì hé] to fit; to suit; 
使用,[shǐ yòng] to use; to employ; to apply; to make use of; 
那时,[nà shí] then; at that time; in those days; 
今天,[jīn tiān] today; at the present; now; 
人们,[rén men] people; 
里面,[lǐ miàn] inside; interior; 
二世,[èr shì] the Second (of numbered kings); second generation (e.g. Chinese Americans); 
乔治,[Qiáo zhì] George (name); 
金属,[jīn shǔ] metal; CL:種|种[zhong3]; 
两国,[liǎng guó] both countries; two countries; 
铅笔,[qiān bǐ] (lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3]; 
颜色,[yán sè] color; countenance; appearance; facial expression; pigment; dyestuff; 
世纪,[shì jì] century; CL:個|个[ge4]; 
非常,[fēi cháng] unusual; extraordinary; extreme; very; exceptional; 
专用,[zhuān yòng] special; dedicated; 
不过,[bù guò] only; merely; no more than; but; however; anyway (to get back to a previous topic); 
韧性,[rèn xìng] toughness; 
不大,[bù dà] not very; not too; not often; 
黑色,[hēi sè] black; 
世纪末,[shì jì mò] end of the century; 
,
古罗马,[gǔ Luó mǎ] ancient Rome; 
只不过,[zhǐ bu guò] only; merely; nothing but; no more than; [zhǐ bù guò] it's just that ...; 
,
牧羊人,[mù yáng rén] shepherd; 
名副其实,[míng fù qí shí] not just in name only, but also in reality (idiom); 
